"Agente","Lineas","Autonomia","Generacion_IA","Aprendizaje","Memoria","Planificacion","Decisiones","Orquestacion","Resiliencia","Seguridad","Metricas","Total","Porcentaje","Nivel","Tiene_API_Real","Tiene_OpenAI","Tiene_Anthropic","Tiene_Database","Tiene_Scheduler","Tiene_Orchestration"
"abtestingia","262","0/3","0/4","0/3","1/4","2/3","4/4","0/3","3/3","2/3","1/2","13/32","40.6%","System.Object[]","False","False","False","False","False","False"
"abtestingimpactia","126","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"attributionmodelia","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"audiencesegmenteria","245","0/3","0/4","0/3","1/4","2/3","3/4","1/3","2/3","2/3","2/2","13/32","40.6%","System.Object[]","False","False","False","False","False","False"
"budgetforecastia","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"campaignoptimizeria","226","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"campaignstrategyorchestratoria","1762","0/3","0/4","2/3","3/4","2/3","4/4","3/3","3/3","2/3","2/2","21/32","65.6%","System.Object[]","False","False","False","False","False","True"
"cashofferfilteria","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"channelattributia","243","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","2/2","12/32","37.5%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"competitoranalyzeria","199","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"competitorintelligenceia","204","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"contactqualityia","219","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"contentgeneratoria","232","0/3","1/4","0/3","1/4","3/3","3/4","0/3","2/3","2/3","1/2","13/32","40.6%","System.Object[]","False","False","False","False","True","False"
"contentperformanceia","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"conversioncohortia","218","0/3","0/4","0/3","1/4","2/3","4/4","0/3","2/3","2/3","1/2","12/32","37.5%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"creativeanalyzeria","214","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"customersegmentatonia","195","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"emailautomationia","230","0/3","0/4","0/3","1/4","3/3","4/4","0/3","2/3","2/3","1/2","13/32","40.6%","System.Object[]","False","False","False","False","True","False"
"geosegmentationia","183","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"influencermatcheria","208","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"influencermatchingia","197","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"journeyoptimizeria","207","0/3","0/4","1/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","12/32","37.5%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"leadscoria","247","0/3","0/4","0/3","1/4","3/3","3/4","0/3","2/3","2/3","1/2","12/32","37.5%","?? AGENTE LIMITADO","False","False","False","False","True","False"
"leadscoringia","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"marketingmixmodelia","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"marketingorchestratorea","116","0/3","0/4","0/3","1/4","1/3","3/4","1/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","True"
"minimalformia","190","0/3","1/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","12/32","37.5%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"multi_industry_config","966","0/3","0/4","0/3","2/4","2/3","3/4","2/3","2/3","2/3","0/2","13/32","40.6%","System.Object[]","False","False","False","False","False","True"
"personalizationengineia","210","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"predictiveleadia","229","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"pricingoptimizeria","253","0/3","0/4","1/3","1/4","2/3","3/4","0/3","2/3","2/3","2/2","13/32","40.6%","System.Object[]","False","False","False","False","False","False"
"productaffinityia","202","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"retentionpredictorea","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"retentionpredictoria","240","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"sentimentanalyzeria","235","0/3","0/4","2/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","13/32","40.6%","System.Object[]","False","False","False","False","False","False"
"sociallisteningia","219","0/3","0/4","0/3","1/4","2/3","3/4","0/3","2/3","2/3","1/2","11/32","34.4%","?? AGENTE LIMITADO","False","False","False","False","False","False"
"socialpostgeneratoria","116","0/3","0/4","0/3","1/4","1/3","3/4","0/3","2/3","2/3","1/2","10/32","31.2%","?? AGENTE LIMITADO","False","False","False","False","False","False"
