"Agent","Status","Version","Score","HasDecisionLayer","HasCompliance","HasBusinessImpact","HasAuditTrail","HasErrorHandling","Latency","Details"
"leadscoringia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"conversioncohortia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"productaffinityia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"geosegmentationia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"minimalformia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"customersegmentatonia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"abtestingia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"emailautomationia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"influencermatcheria","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"influencermatchingia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"personalizationengineia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"competitorintelligenceia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"competitoranalyzeria","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"creativeanalyzeria","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"journeyoptimizeria","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"contactqualityia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"marketingorchestratorea","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"socialpostgeneratoria","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"campaignoptimizeria","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"cashofferfilteria","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"marketingmixmodelia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"attributionmodelia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"retentionpredictorea","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"budgetforecastia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"abtestingimpactia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
"contentperformanceia","ERROR","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","Error: The term '_evaluate_agent_response' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again."
